sector,DATE COMMITTED,GRANTEE,AMOUNT COMMITTED,percentage
others,2016.0,Rainier Scholars,5000.0,0.01
others,2016.0,Seattle Counseling Center,5000.0,0.01
others,2016.0,Speak Up Africa,5000.0,0.01
others,2016.0,Washington Area Womens Foundation Inc.,5000.0,0.01
others,2016.0,"Women's Policy, Inc.",5000.0,0.01
others,2016.0,World Vision,5000.0,0.01
others,2016.0,Association of Fundraising Professionals,3000.0,0.01
others,2016.0,Seattle Arts & Lectures,3000.0,0.01
others,2016.0,826DC,2500.0,0.01
others,2016.0,Bike Works Seattle,2500.0,0.01
others,2016.0,Cascade Bicycle Club Education Foundation,2500.0,0.01
others,2016.0,FareStart,2500.0,0.01
others,2016.0,Lifelong AIDS Alliance,2500.0,0.01
others,2016.0,Northwest Immigrant Rights Project,2500.0,0.01
others,2016.0,OneAmerica,2500.0,0.01
others,2016.0,"Scholarship America, Inc.",2500.0,0.01
others,2016.0,Social Justice Fund Northwest,2500.0,0.01
others,2016.0,Summer Search,2500.0,0.01
others,2016.0,Vicente Ferrer Foundation USA,2000.0,0.01
others,2016.0,Rebuilding Together Seattle,1500.0,0.0
others,2016.0,William D. Ruckelshaus Center Foundation,1500.0,0.0
others,2016.0,Affinia Healthcare,1000.0,0.0
others,2016.0,Beyond Housing,1000.0,0.0
others,2016.0,Mission Africa,1000.0,0.0
others,2016.0,Queen Anne Helpline Inc,1000.0,0.0
others,2016.0,Food Lifeline,500.0,0.0
others,2016.0,The Female Experience,500.0,0.0
others,2016.0,Seattle Rotary Service Foundation,400.0,0.0
health,2017.0,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",509092250.0,13.49
health,2017.0,Gates Medical Research Institute,474996958.0,12.59
health,2017.0,PATH,335357253.0,8.89
growth,2017.0,AGRA,200375000.0,31.21
health,2017.0,United States Fund for UNICEF,171272936.0,4.54
health,2017.0,World Health Organization Nigeria Country Office,114825353.0,3.04
health,2017.0,World Health Organization,110297998.0,2.92
health,2017.0,Coalition for Epidemic Preparedness Innovations,100000000.0,2.65
health,2017.0,Family Health International,97240937.0,2.58
health,2017.0,CARE,70855350.0,1.88
health,2017.0,The Carter Center,70000000.0,1.86
health,2017.0,Resolve to Save Lives,50000000.0,1.33
health,2017.0,London School of Hygiene and Tropical Medicine,46289096.0,1.23
health,2017.0,Johns Hopkins University,45417742.0,1.2
growth,2017.0,Global Alliance for Livestock Veterinary Medicines,40000000.0,6.23
health,2017.0,The One Campaign,39000000.0,1.03
health,2017.0,Inter-American Development Bank,38753505.0,1.03
education,2017.0,New Venture Fund,37900000.0,24.61
growth,2017.0,University of Illinois at Urbana-Champaign,36091725.0,5.62
health,2017.0,Fred Hutchinson Cancer Center,34078101.0,0.9
health,2017.0,University of Oxford,33464170.0,0.89
health,2017.0,University of Washington Foundation,33302476.0,0.88
health,2017.0,Harvard T.H. Chan School of Public Health,31052965.0,0.82
growth,2017.0,Cornell University,30603485.0,4.77
growth,2017.0,Centro Internacional de Mejoramiento de Maiz y Trigo,30000000.0,4.67
health,2017.0,The END Fund,28152528.0,0.75
health,2017.0,Virginia Commonwealth University,28112800.0,0.74
health,2017.0,Global Alliance for Livestock Veterinary Medicines,28090266.0,0.74
health,2017.0,"LG Chem, Ltd.",28046386.0,0.74
health,2017.0,Charity Projects,27019950.0,0.72
health,2017.0,Rockefeller University,26012747.0,0.69
health,2017.0,Pathfinder International,25200000.0,0.67
others,2017.0,The Barack Obama Foundation,25000000.0,22.01
health,2017.0,"RESULTS Educational Fund, Inc.",23875545.0,0.63
growth,2017.0,University of Cambridge,23485053.0,3.66
health,2017.0,Clinton Health Access Initiative Inc,20610584.0,0.55
health,2017.0,International Rice Research Institute,20189226.0,0.54
education,2017.0,University of Washington Foundation,20100000.0,13.05
health,2017.0,ThinkWell Institute,19964715.0,0.53
health,2017.0,The Scripps Research Institute,19941196.0,0.53
health,2017.0,"Inventprise, Inc.",18963563.0,0.5
health,2017.0,Society for Family Health,17237690.0,0.46
health,2017.0,Christian Medical College Vellore,16347293.0,0.43
others,2017.0,Center for US Global Leadership,16000000.0,14.09
others,2017.0,"Financial Sector Deepening, Kenya",16000000.0,14.09
health,2017.0,"Comic Relief, Inc.",15550000.0,0.41
health,2017.0,Zoetis,14399710.0,0.38
growth,2017.0,Columbia University,14190898.0,2.21
health,2017.0,FIDEC Corporation,13966018.0,0.37
health,2017.0,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH,13875100.0,0.37
health,2017.0,RTI International,13254100.0,0.35
health,2017.0,Malaria No More,12850000.0,0.34
health,2017.0,MSI Reproductive Choices,12205440.0,0.32
health,2017.0,World Food Programme,12061578.0,0.32
health,2017.0,International Food Policy Research Institute,11871564.0,0.31
health,2017.0,University of Florida,11506114.0,0.3
growth,2017.0,"Results for Development Institute, Inc.",11495231.0,1.79
health,2017.0,CDC Foundation,11461078.0,0.3
growth,2017.0,Heinrich Heine University,11396996.0,1.78
health,2017.0,"Centre for Global Health Research, Inc.",11390545.0,0.3
growth,2017.0,International Bank for Reconstruction and Development,11223215.0,1.75
others,2017.0,Save the Children UK,11007497.0,9.69
equality,2017.0,UN Women,10646903.0,19.18
health,2017.0,National Health Commission of the People’s Republic of China,10216440.0,0.27
health,2017.0,Global Citizen,10178578.0,0.27
health,2017.0,"DKT International, Inc.",10007129.0,0.27
education,2017.0,District of Columbia College Access Program,10000000.0,6.49
health,2017.0,Campaign for Tobacco-Free Kids,10000000.0,0.27
health,2017.0,"Otsuka Pharmaceutical Development & Commercialization, Inc.",10000000.0,0.27
health,2017.0,Speak Up Africa Senegal,9801264.0,0.26
health,2017.0,"Intarcia Therapeutics, Inc.",9407063.0,0.25
health,2017.0,Harvard University,9364575.0,0.25
health,2017.0,Hospital for Sick Children,9294681.0,0.25
growth,2017.0,United States Fund for UNICEF,9170005.0,1.43
health,2017.0,Wits Health Consortium (Pty) Ltd,9101658.0,0.24
health,2017.0,Columbia University,9052011.0,0.24
growth,2017.0,MSC Global Consulting Private Limited,8992755.0,1.4
health,2017.0,Stanford University,8967003.0,0.24
growth,2017.0,African Fertilizer and Agribusinesses Partnership,8900002.0,1.39
health,2017.0,Duke University,8852670.0,0.23
health,2017.0,"Just-Evotec Biologics, Inc.",8731546.0,0.23
health,2017.0,Foundation for Innovative New Diagnostics (FIND),8546422.0,0.23
health,2017.0,Salus Discovery,8489530.0,0.22
growth,2017.0,CIRAD (French Agricultural Research Center for International Development),8295631.0,1.29
health,2017.0,The George Washington University,8147934.0,0.22
health,2017.0,"Center for Strategic & International Studies, Inc.",8074000.0,0.21
health,2017.0,"JSI Research & Training Institute, Inc.",8055726.0,0.21
others,2017.0,The Education Trust Inc.,8000000.0,7.04
health,2017.0,University of Massachusetts Medical School,7961586.0,0.21
growth,2017.0,CARE,7881870.0,1.23
health,2017.0,VITAL Pakistan Trust,7844868.0,0.21
health,2017.0,Population Action International,7747506.0,0.21
health,2017.0,University of Virginia,7538591.0,0.2
health,2017.0,International Bank for Reconstruction and Development,7446621.0,0.2
education,2017.0,Cornell University,7435454.0,4.83
health,2017.0,Development Research and Projects Centre,7066475.0,0.19
health,2017.0,IntraHealth International Inc.,7000000.0,0.19
health,2017.0,Penn State,6991001.0,0.19
health,2017.0,Global Health Strategies LLC,6869446.0,0.18
health,2017.0,University of Pennsylvania,6835842.0,0.18
growth,2017.0,Duke University,6810470.0,1.06
health,2017.0,"United Nations Office for Project Services, Geneva",6800000.0,0.18
health,2017.0,International Budget Partnership,6700000.0,0.18
health,2017.0,BIRAC,6682099.0,0.18
health,2017.0,IPAS,6675135.0,0.18
health,2017.0,"University of California, Davis",6389319.0,0.17
health,2017.0,Ipas Development Foundation,6385274.0,0.17
health,2017.0,"EngenderHealth, Inc.",6377962.0,0.17
health,2017.0,Ghent University,6313112.0,0.17
health,2017.0,AIDS Vaccine Advocacy Coalition Inc.,6215028.0,0.16
health,2017.0,World Health Organization India Country Office,6198943.0,0.16
growth,2017.0,Center for Global Development,6187488.0,0.96
health,2017.0,Crane Engineering,6137127.0,0.16
growth,2017.0,International Food Policy Research Institute,6100000.0,0.95
health,2017.0,University of Nottingham,6078248.0,0.16
health,2017.0,University of North Carolina at Chapel Hill,6028270.0,0.16
health,2017.0,Abt Global LLC,6000000.0,0.16
health,2017.0,Massachusetts Institute of Technology,5987999.0,0.16
health,2017.0,Brown University,5961698.0,0.16
health,2017.0,Joan & Sanford I. Weill Medical College of Cornell University,5932831.0,0.16
health,2017.0,Population Services International,5905948.0,0.16
health,2017.0,"Save the Children Federation, Inc.",5900786.0,0.16
health,2017.0,CIDRZ,5796095.0,0.15
health,2017.0,Ankur Scientific Energy Technologies Pvt. Ltd.,5706108.0,0.15
growth,2017.0,United Nations Development Programme Bangladesh,5679393.0,0.88
health,2017.0,Tulane University,5603070.0,0.15
others,2017.0,"Friends of the Global Fight Against AIDS, Tuberculosis and Malaria",5600000.0,4.93
growth,2017.0,Samagra Development Associates Private Limited,5465890.0,0.85
growth,2017.0,"Save the Children Federation, Inc.",5419734.0,0.84
growth,2017.0,New Venture Fund,5352222.0,0.83
health,2017.0,Living Goods,5280868.0,0.14
growth,2017.0,Collaborative Africa Budget Reform Initiative,5228431.0,0.81
health,2017.0,Cornell University,5095639.0,0.14
growth,2017.0,"DKT International, Inc.",5000000.0,0.78
growth,2017.0,Foundation for Food and Agriculture Research,5000000.0,0.78
growth,2017.0,"TechnoServe, Inc.",5000000.0,0.78
health,2017.0,Health and Nutrition Development Society (HANDS),5000000.0,0.13
health,2017.0,Jhpiego Corporation,5000000.0,0.13
health,2017.0,Institut Pasteur de Dakar,4999814.0,0.13
growth,2017.0,University of Oxford,4999631.0,0.78
education,2017.0,"ACCESS Health International, Inc.",4997217.0,3.24
growth,2017.0,Purdue University,4984153.0,0.78
growth,2017.0,Tuv Sud Asia Pacific Pte Ltd,4970870.0,0.77
health,2017.0,M&C Saatchi World Services LLP,4933816.0,0.13
growth,2017.0,WASH Institute,4910834.0,0.76
health,2017.0,Children's Hospital Boston,4888549.0,0.13
health,2017.0,SNV Netherlands Development Organisation,4873040.0,0.13
education,2017.0,U.S. Chamber of Commerce Foundation,4862703.0,3.16
health,2017.0,Alere Inc.,4859160.0,0.13
equality,2017.0,Centre for Catalyzing Change,4830461.0,8.7
equality,2017.0,Institute for Financial Management and Research,4799919.0,8.65
health,2017.0,"Population Council, Inc.",4769151.0,0.13
health,2017.0,United Nations Department of Economic and Social Affairs,4768639.0,0.13
health,2017.0,The Association of Francophone Mayors,4750652.0,0.13
health,2017.0,IPE Global Limited,4735506.0,0.13
health,2017.0,Sir Ratan Tata Trust,4712072.0,0.12
health,2017.0,Africa Resource Centre NPC,4690996.0,0.12
health,2017.0,American National Standards Institute,4550243.0,0.12
health,2017.0,Humabs BioMed,4549751.0,0.12
health,2017.0,Nafundi,4518211.0,0.12
equality,2017.0,Mama Cash,4500151.0,8.11
health,2017.0,West African Health Organisation,4500004.0,0.12
health,2017.0,Population Reference Bureau,4500000.0,0.12
health,2017.0,The Power of Nutrition,4500000.0,0.12
health,2017.0,United Nations Foundation,4492551.0,0.12
health,2017.0,University of KwaZulu-Natal,4486679.0,0.12
health,2017.0,Southern Africa Malaria Elimination Eight Initiative Secretariat,4447096.0,0.12
health,2017.0,Tufts University,4407844.0,0.12
health,2017.0,Rajiv Gandhi Charitable Trust,4287102.0,0.11
health,2017.0,Ventria Bioscience,4220172.0,0.11
health,2017.0,The Walter and Eliza Hall Institute of Medical Research,4219652.0,0.11
equality,2017.0,University of California San Diego,4169084.0,7.51
health,2017.0,"Lyndra Therapeutics, Inc.",4148480.0,0.11
education,2017.0,University of Minnesota,4124919.0,2.68
health,2017.0,Beth Israel Deaconess Medical Center Inc.,4084674.0,0.11
growth,2017.0,London School of Economics and Political Science,4060851.0,0.63
health,2017.0,Private Sector Health Alliance of Nigeria,4001342.0,0.11
equality,2017.0,United Nations Foundation,3989226.0,7.19
health,2017.0,Women's Refugee Commission,3781229.0,0.1
growth,2017.0,ActionAid USA,3751715.0,0.58
education,2017.0,Emory University,3725687.0,2.42
health,2017.0,Georgetown University,3698606.0,0.1
growth,2017.0,IIM A Ventures,3683042.0,0.57
health,2017.0,Administrative Staff College of India,3658557.0,0.1
health,2017.0,"ACCESS Health International, Inc.",3630161.0,0.1
health,2017.0,Options for International Health,3621234.0,0.1
health,2017.0,New York Academy of Sciences,3596850.0,0.1
health,2017.0,Solina Center for International Development and Research,3596748.0,0.1
health,2017.0,Murdoch Childrens Research Institute,3595985.0,0.1
health,2017.0,Institute for Healthcare Improvement,3586232.0,0.1
health,2017.0,eHealth Africa,3583966.0,0.09
health,2017.0,Reseau Africain de l’Education pour la santé,3561683.0,0.09
health,2017.0,Joint United Nations Programme on HIV/AIDS,3546504.0,0.09
health,2017.0,Access to Medicine Foundation,3500035.0,0.09
health,2017.0,The Daily Telegraph,3446801.0,0.09
health,2017.0,MedinCell SA,3443080.0,0.09
education,2017.0,Flowminder Foundation,3407108.0,2.21
health,2017.0,Rutgers,3381284.0,0.09
health,2017.0,Queensland University of Technology,3340515.0,0.09
health,2017.0,"Achaogen, Inc",3253583.0,0.09
growth,2017.0,Brookings Institution,3250000.0,0.51
health,2017.0,Imperial College London,3248497.0,0.09
health,2017.0,Swiss Federal Institute of Aquatic Science and Technology,3171987.0,0.08
health,2017.0,IPRD Solutions Inc,3117142.0,0.08
health,2017.0,Johns Hopkins University Bloomberg School of Public Health,3073803.0,0.08
health,2017.0,International AIDS Society (IAS),3064739.0,0.08
health,2017.0,University of Manitoba,3053064.0,0.08
health,2017.0,University of Cape Town,3049955.0,0.08
health,2017.0,National Institute of Allergy and Infectious Diseases,3045634.0,0.08
education,2017.0,The Moth,3045501.0,1.98
health,2017.0,"Results for Development Institute, Inc.",3036963.0,0.08
health,2017.0,Cincinnati Children's Hospital Medical Center,3022047.0,0.08
health,2017.0,University of Rochester,3010535.0,0.08
health,2017.0,Medicines and Healthcare Products Regulatory Agency,3008530.0,0.08
education,2017.0,Campaign for College Opportunity,3000000.0,1.95
health,2017.0,"PnuVax, Inc.",3000000.0,0.08
health,2017.0,African Ministers' Council on Water,2992665.0,0.08
health,2017.0,United Nations High Commissioner for Refugees,2979135.0,0.08
health,2017.0,Instituto de Salud Global Barcelona,2976072.0,0.08
health,2017.0,Translational Health Science and Technology Institute,2966102.0,0.08
growth,2017.0,International Telecommunication Union,2948342.0,0.46
education,2017.0,Kyle House Group,2922612.0,1.9
education,2017.0,Stichting IFLA Global Libraries,2900000.0,1.88
others,2017.0,American Library Association,2900000.0,2.55
equality,2017.0,Guardian News & Media Ltd,2893865.0,5.21
health,2017.0,Zenysis Technologies Inc.,2873315.0,0.08
health,2017.0,Sabin Vaccine Institute,2825490.0,0.07
health,2017.0,Ifakara Health Institute,2815007.0,0.07
health,2017.0,Clarivate Analytics (US) LLC,2814755.0,0.07
health,2017.0,Innovative Medicines for Tuberculosis Foundation (iM4TB),2798456.0,0.07
health,2017.0,"GlaxoSmithKline I+D, S.L.",2781967.0,0.07
health,2017.0,University of Warwick,2701387.0,0.07
growth,2017.0,"Open Imagery Network, Inc",2693655.0,0.42
growth,2017.0,United Nations Population Fund,2688782.0,0.42
growth,2017.0,Prospera International Network of Women's Funds,2670000.0,0.42
growth,2017.0,"Women's World Banking, Inc.",2647745.0,0.41
growth,2017.0,National Council of Applied Economic Research,2640211.0,0.41
education,2017.0,CGD Europe,2630487.0,1.71
health,2017.0,University of California San Francisco,2601232.0,0.07
education,2017.0,The Aspen Institute Inc,2600000.0,1.69
others,2017.0,Foundation for Excellence in Education,2600000.0,2.29
others,2017.0,"Teach Plus, Incorporated",2600000.0,2.29
health,2017.0,University of Toronto,2589467.0,0.07
health,2017.0,InterAction,2549119.0,0.07
growth,2017.0,National Institute of Public Finance and Policy,2498539.0,0.39
health,2017.0,Chinese Association of STD & AIDS Prevention and Control,2495739.0,0.07
growth,2017.0,Urban Management Centre,2489802.0,0.39
growth,2017.0,"The Bridgespan Group, Inc.",2476742.0,0.39
growth,2017.0,"Acumen Fund, Inc.",2444209.0,0.38
health,2017.0,University of California San Diego,2440618.0,0.06
growth,2017.0,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH,2430774.0,0.38
health,2017.0,National Institute of Public Finance and Policy,2429203.0,0.06
growth,2017.0,"AMREF Health Africa, Inc.",2420642.0,0.38
growth,2017.0,"Network for Good, Inc.",2405937.0,0.37
health,2017.0,Sanergy,2400001.0,0.06
health,2017.0,Foundation for Professional Development Fund,2400000.0,0.06
health,2017.0,CureVac SE,2335864.0,0.06
health,2017.0,"Micron Biomedical, Inc.",2313835.0,0.06
equality,2017.0,Public Health Institute,2267683.0,4.09
health,2017.0,University of South Florida,2250737.0,0.06
equality,2017.0,Yale University,2248990.0,4.05
health,2017.0,Tony Blair Institute for Global Change,2246913.0,0.06
education,2017.0,"HCM Strategists, LLC",2234339.0,1.45
equality,2017.0,"The Global Fund for Women, Inc.",2225859.0,4.01
growth,2017.0,Practical Action,2221474.0,0.35
growth,2017.0,BRAC USA,2200440.0,0.34
health,2017.0,Caritas Congo Asbl,2171753.0,0.06
health,2017.0,Treatment Action Group,2160000.0,0.06
education,2017.0,Küehne Foundation,2153500.0,1.4
health,2017.0,Sightsavers,2148448.0,0.06
health,2017.0,"FSG, Inc.",2143569.0,0.06
equality,2017.0,Restless Development,2099070.0,3.78
education,2017.0,"Washington Charter School Development, Inc",2078288.0,1.35
growth,2017.0,Central Bank of Jordan,2043784.0,0.32
health,2017.0,Washington University,2042884.0,0.05
health,2017.0,International Medical Corps,2041700.0,0.05
growth,2017.0,Precision Development Inc.,2014820.0,0.31
others,2017.0,Martha's Table,2005000.0,1.77
others,2017.0,GuideStar USA Inc.,2000000.0,1.76
health,2017.0,Johns Hopkins Center for Communication Programs,1985739.0,0.05
growth,2017.0,London School of Hygiene and Tropical Medicine,1910870.0,0.3
health,2017.0,Cabinet EDE International,1903150.0,0.05
health,2017.0,Khanyisa Projects,1887498.0,0.05
health,2017.0,University of Texas at Austin,1881891.0,0.05
health,2017.0,"Guttmacher Institute, Inc.",1875000.0,0.05
education,2017.0,BBC Media Action,1874283.0,1.22
health,2017.0,"Centre for Research, Evaluation Resources and Development (CRERD)",1846615.0,0.05
equality,2017.0,Scope Impact Ltd,1841723.0,3.32
health,2017.0,Kano State Government,1760771.0,0.05
education,2017.0,Last Mile Health,1750704.0,1.14
health,2017.0,International AIDS Vaccine Initiative Inc,1743543.0,0.05
health,2017.0,South Africa Development Fund,1716179.0,0.05
health,2017.0,International Initiative for Impact Evaluation Inc.,1686740.0,0.04
health,2017.0,New Venture Fund,1682098.0,0.04
education,2017.0,"Enterprise Community Partners, Inc.",1650175.0,1.07
health,2017.0,"Peptidream, Inc.",1650000.0,0.04
health,2017.0,"The Task Force for Global Health, Inc.",1646673.0,0.04
health,2017.0,University College London,1641195.0,0.04
health,2017.0,"X4 Pharmaceuticals, Inc.",1639120.0,0.04
growth,2017.0,International Monetary Fund,1630690.0,0.25
health,2017.0,Emerging Ag Inc.,1603405.0,0.04
growth,2017.0,World Health Organization,1599368.0,0.25
health,2017.0,"Akeso, LLC",1582757.0,0.04
health,2017.0,Asian Institute of Technology,1573073.0,0.04
health,2017.0,"Novartis Institutes for BioMedical Research, Inc.",1542000.0,0.04
health,2017.0,ClinGlobal,1523656.0,0.04
growth,2017.0,Harvard T.H. Chan School of Public Health,1517145.0,0.24
health,2017.0,Hackensack University Medical Center,1511333.0,0.04
equality,2017.0,International Bank for Reconstruction and Development,1508760.0,2.72
education,2017.0,"Policy Innovators In Education Network, Inc.",1500000.0,0.97
education,2017.0,Stichting eIFL.net,1500000.0,0.97
growth,2017.0,African Union Commission,1500000.0,0.23
growth,2017.0,China International Center for Economic and Technical Exchanges,1500000.0,0.23
growth,2017.0,HopeWorks Social Enterprises,1500000.0,0.23
growth,2017.0,Touchline,1500000.0,0.23
health,2017.0,China National Health Development Research Center,1500000.0,0.04
health,2017.0,Forum for Family Planning & Development,1500000.0,0.04
health,2017.0,Graça Machel Trust,1500000.0,0.04
others,2017.0,Global Alliance for Improved Nutrition,1500000.0,1.32
others,2017.0,RVC Seattle,1500000.0,1.32
health,2017.0,Indian Institute of Technology Delhi,1499997.0,0.04
growth,2017.0,Africa Practice Ltd,1499990.0,0.23
health,2017.0,UCLG ASPAC,1499983.0,0.04
health,2017.0,"Consorcio de Investigación sobre VIH SIDA TB CISIDAT, A.C",1499476.0,0.04
growth,2017.0,Centre for Asian Philanthropy and Society Ltd.,1498168.0,0.23
health,2017.0,Institute of Tropical Medicine,1492251.0,0.04
health,2017.0,BeeHyv Software Solutions Private Limited,1488756.0,0.04
health,2017.0,"The Center for Disease Dynamics, Economics & Policy, Inc.",1484266.0,0.04
health,2017.0,Nossal Institute Limited,1481463.0,0.04
health,2017.0,Tufts Medical Center,1456445.0,0.04
health,2017.0,Indian Council of Medical Research,1449729.0,0.04
growth,2017.0,University of Maryland,1443127.0,0.22
health,2017.0,African Society for Laboratory Medicine NPC,1443020.0,0.04
health,2017.0,Agricultural and Rural Prospective Initiative,1425500.0,0.04
health,2017.0,Georgia Institute of Technology,1401686.0,0.04
growth,2017.0,Mercy Corps,1400000.0,0.22
health,2017.0,Christian Connections for International Health,1399944.0,0.04
health,2017.0,TEXT Private Limited,1389493.0,0.04
health,2017.0,Aga Khan University,1362533.0,0.04
health,2017.0,University of Newcastle,1355163.0,0.04
health,2017.0,"Brigham and Women's Hospital, Inc.",1345514.0,0.04
education,2017.0,University of California San Diego,1328350.0,0.86
health,2017.0,Collective Good Foundation,1325000.0,0.04
health,2017.0,Tax Justice Network Africa,1316743.0,0.03
health,2017.0,Project Concern International,1290423.0,0.03
health,2017.0,Unilever PLC,1286693.0,0.03
health,2017.0,Centre for Catalyzing Change,1283060.0,0.03
health,2017.0,"International Centre for Diarrhoeal Disease Research, Bangladesh",1281260.0,0.03
health,2017.0,Muso Inc.,1275295.0,0.03
health,2017.0,Center for Human Services,1267366.0,0.03
health,2017.0,Babylon Holdings Limited,1262949.0,0.03
health,2017.0,Focus 2030,1254000.0,0.03
education,2017.0,Peking University,1212919.0,0.79
health,2017.0,"University of Kansas Center for Research, Inc.",1203000.0,0.03
equality,2017.0,Institute of Social Studies Trust,1200001.0,2.16
education,2017.0,Southern Education Foundation Inc,1200000.0,0.78
growth,2017.0,CARE India Solutions For Sustainable Development,1195043.0,0.19
others,2017.0,Innovations for Poverty Action,1158000.0,1.02
health,2017.0,Oxford Policy Management Limited,1155924.0,0.03
growth,2017.0,University of Pennsylvania,1152071.0,0.18
growth,2017.0,European Centre for Development Policy Management,1151720.0,0.18
health,2017.0,Lumen Bioscience,1143977.0,0.03
growth,2017.0,International Institute of Tropical Agriculture,1138940.0,0.18
health,2017.0,National Primary Health Care Development Agency,1117875.0,0.03
health,2017.0,The Center for Water Security and Cooperation,1100382.0,0.03
growth,2017.0,Tacoma Community House,1100000.0,0.17
health,2017.0,African Health Economics and Policy Association,1100000.0,0.03
health,2017.0,Warp Drive Bio,1100000.0,0.03
health,2017.0,International Vaccine Institute,1079039.0,0.03
education,2017.0,Coalition for Global Prosperity,1078820.0,0.7
health,2017.0,TASK,1049893.0,0.03
health,2017.0,Ottawa Hospital Research Institute,1046226.0,0.03
health,2017.0,The General Hospital Corporation d/b/a Massachusetts General Hospital,1025093.0,0.03
health,2017.0,Oregon Health & Science University,1022210.0,0.03
health,2017.0,Kohler,1011296.0,0.03
health,2017.0,Wistar Institute of Anatomy & Biology,1002830.0,0.03
health,2017.0,National Foundation for India,1000789.0,0.03
health,2017.0,Gapminder Foundation,1000164.0,0.03
education,2017.0,DonorsChoose,1000000.0,0.65
education,2017.0,Seattle Pacific University,1000000.0,0.65
equality,2017.0,Northwest Immigrant Rights Project,1000000.0,1.8
growth,2017.0,Town Hall Seattle,1000000.0,0.16
growth,2017.0,United Way of Pierce County,1000000.0,0.16
health,2017.0,Aisha Buhari Foundation,1000000.0,0.03
health,2017.0,BRAC USA,1000000.0,0.03
health,2017.0,Oxfam-America Inc,1000000.0,0.03
others,2017.0,"Council on Foundations, Inc.",1000000.0,0.88
others,2017.0,Nelson Mandela Foundation,1000000.0,0.88
health,2017.0,The Aurum Institute NPC,999922.0,0.03
growth,2017.0,LoftyInc Allied Partners Limited,999614.0,0.16
health,2017.0,Everwell Health Solutions,999405.0,0.03
health,2017.0,TuBerculosis Vaccine Initiative,997036.0,0.03
health,2017.0,Crown Prince Court of Abu Dhabi,996500.0,0.03
health,2017.0,Nigeria Health Watch,995629.0,0.03
education,2017.0,Hearing Speech and Deaf Center,995389.0,0.65
growth,2017.0,African Academy of Sciences,995261.0,0.16
health,2017.0,University of the Free State,965798.0,0.03
health,2017.0,University of Melbourne,964881.0,0.03
health,2017.0,University of Illinois at Chicago,960831.0,0.03
education,2017.0,Wesleyan University,958786.0,0.62
health,2017.0,"Broad Institute, Inc.",920000.0,0.02
health,2017.0,Emory University,913376.0,0.02
growth,2017.0,Asian Institute of Technology,899909.0,0.14
health,2017.0,Global Alliance for Improved Nutrition,886298.0,0.02
health,2017.0,Catapult Design,883340.0,0.02
health,2017.0,Centre for Advocacy and Research,873000.0,0.02
health,2017.0,Lutheran World Relief,868386.0,0.02
health,2017.0,SOAS University of London,862105.0,0.02
growth,2017.0,New York University,861157.0,0.13
growth,2017.0,"HCM Strategists, LLC",850021.0,0.13
equality,2017.0,WRTHY,849996.0,1.53
growth,2017.0,Focus 2030,833000.0,0.13
equality,2017.0,International Center for Research on Women,825000.0,1.49
health,2017.0,University of British Columbia,823118.0,0.02
growth,2017.0,MOMODa Foundation,816324.0,0.13
health,2017.0,Oregon State University,815354.0,0.02
health,2017.0,Monash University,815000.0,0.02
health,2017.0,University of Michigan,811209.0,0.02
health,2017.0,Saint Louis University,807608.0,0.02
equality,2017.0,Equimundo Center for Masculinities and Social Justice,805417.0,1.45
growth,2017.0,Manus Bio Inc.,804601.0,0.13
others,2017.0,Candid,800000.0,0.7
health,2017.0,Interim Community Development Association,799998.0,0.02
health,2017.0,Storythings,799536.0,0.02
education,2017.0,New York University,797937.0,0.52
growth,2017.0,"University of California, Davis",790903.0,0.12
health,2017.0,Nigeria Centre for Disease Control and Prevention (NCDC),790703.0,0.02
education,2017.0,Centre for Affordable Water & Sanitation Technology,788452.0,0.51
education,2017.0,University of Chinese Academy of Sciences,776923.0,0.5
growth,2017.0,University of South Florida,760507.0,0.12
growth,2017.0,University of Copenhagen,758122.0,0.12
education,2017.0,Fondazione Achille Sclavo O.N.L.U.S.,750320.0,0.49
growth,2017.0,DonorsChoose,750000.0,0.12
others,2017.0,International Council of AIDS Service Organizations,750000.0,0.66
health,2017.0,Global HIV Vaccine Enterprise,749999.0,0.02
growth,2017.0,"Copenhagen Consensus Center USA, Inc",749981.0,0.12
health,2017.0,Nutrition International,734437.0,0.02
health,2017.0,Altasciences Company Inc.,716876.0,0.02
equality,2017.0,ActionAid USA,716500.0,1.29
health,2017.0,"Institute of Zoology, Chinese Academy of Sciences",715000.0,0.02
health,2017.0,Tsinghua University,715000.0,0.02
health,2017.0,Weizmann Institute of Science,715000.0,0.02
growth,2017.0,International Livestock Research Institute,714236.0,0.11
health,2017.0,National Jewish Health,705480.0,0.02
health,2017.0,Centre for Policy Research,703409.0,0.02
others,2017.0,National Council of Nonprofits,700000.0,0.62
others,2017.0,The Aspen Institute Inc,700000.0,0.62
health,2017.0,Solutions Journalism Network Inc,697360.0,0.02
health,2017.0,KNCV Tuberculosis Foundation,690762.0,0.02
health,2017.0,Peking University,673552.0,0.02
health,2017.0,University of Dakar,673402.0,0.02
growth,2017.0,Pearl Initiative,657758.0,0.1
